id,mallName,country,city,yearOpened,gla_sqft,gla_sqmt,shops
38,Zhengjia Plaza Grandview Mall,China,Guangzhou,2005,280000 3000000,180
38,Haikou International Duty Free City,China,Haikou Hainan,2022,280000 3000000,200
14,Global Harbor,China,Shanghai,2013,480000 5200000,450
7,Golden Resources Mall,China,Beijing,2004,557419 6000010,750
6,SM Tianjin,China,Tianjin,2016,565000 6080000,1000
19,New Century Global Center,China,Chengdu,2013,400000 4300000,2300
3,South China Mall,China,Dongguan,2005,659612 7100000,2350
